Konten,cleaned_text,tokens,stemmed_tokens,stemmed_text
Jakarta International Marathon 2024 akan digelar Minggu 23 Juni 2024. DLH DKI Jakarta menyatakan kualitas udara Jakarta moderat tepat hari gelaran tersebut.,jakarta international marathon akan digelar minggu juni dlh dki jakarta menyatakan kualitas udara jakarta moderat tepat hari gelaran tersebut,"['jakarta', 'international', 'marathon', 'digelar', 'minggu', 'juni', 'dlh', 'dki', 'jakarta', 'kualitas', 'udara', 'jakarta', 'moderat', 'gelaran']","['jakarta', 'international', 'marathon', 'gelar', 'minggu', 'juni', 'dlh', 'dki', 'jakarta', 'kualitas', 'udara', 'jakarta', 'moderat', 'gelar']",jakarta international marathon gelar minggu juni dlh dki jakarta kualitas udara jakarta moderat gelar
Banyak orang yang belum tahu bahwa kualitas udara yang buruk bisa mempengaruhi tidak hanya kesehatan.,banyak orang  belum tahu bahwa kualitas udara  buruk bisa mempengaruhi tidak hanya kesehatan,"['orang', 'kualitas', 'udara', 'buruk', 'mempengaruhi', 'kesehatan']","['orang', 'kualitas', 'udara', 'buruk', 'pengaruh', 'sehat']",orang kualitas udara buruk pengaruh sehat
"Polusi udara di perkotaan dapat mengganggu kesehatan pernapasan. Yuk, cek cara menjaga kualitas udara di rumah tanpa air purifier.",polusi udara  perkotaan dapat mengganggu kesehatan pernapasan yuk cek cara menjaga kualitas udara  rumah tanpa air purifier,"['polusi', 'udara', 'perkotaan', 'mengganggu', 'kesehatan', 'pernapasan', 'yuk', 'cek', 'menjaga', 'kualitas', 'udara', 'rumah', 'air', 'purifier']","['polusi', 'udara', 'kota', 'ganggu', 'sehat', 'napas', 'yuk', 'cek', 'jaga', 'kualitas', 'udara', 'rumah', 'air', 'purifier']",polusi udara kota ganggu sehat napas yuk cek jaga kualitas udara rumah air purifier
Penyebab kualitas udara di Jabodetabek yang menurun beberapa hari lalu diungkap oleh KLHK. Emisi kendaraan hingga pembakaran sampah menjadi faktor utama.,penyebab kualitas udara  jabodetabek  menurun beberapa hari lalu diungkap oleh klhk emisi kendaraan hingga pembakaran sampah menjadi faktor utama,"['penyebab', 'kualitas', 'udara', 'jabodetabek', 'menurun', 'diungkap', 'klhk', 'emisi', 'kendaraan', 'pembakaran', 'sampah', 'faktor', 'utama']","['sebab', 'kualitas', 'udara', 'jabodetabek', 'turun', 'ungkap', 'klhk', 'emisi', 'kendara', 'bakar', 'sampah', 'faktor', 'utama']",sebab kualitas udara jabodetabek turun ungkap klhk emisi kendara bakar sampah faktor utama
KLHK mengungkap adanya penurunan kuatitas udara di Jakarta. Setidaknya ada 3 faktor yang jadi penyebabnya. Berikut pemaparan KLHK.,klhk mengungkap adanya penurunan kuatitas udara  jakarta setidaknya ada faktor  jadi penyebabnya berikut pemaparan klhk,"['klhk', 'mengungkap', 'penurunan', 'kuatitas', 'udara', 'jakarta', 'faktor', 'penyebabnya', 'pemaparan', 'klhk']","['klhk', 'ungkap', 'turun', 'kuatitas', 'udara', 'jakarta', 'faktor', 'sebab', 'papar', 'klhk']",klhk ungkap turun kuatitas udara jakarta faktor sebab papar klhk
"Jakarta ulang tahun ke-497 pada Sabtu, 22 Juni 2022. Kado terburuk, kualitas udara Jakarta jadi yang terburuk nomor tiga di dunia.",jakarta ulang tahun ke pada sabtu juni kado terburuk kualitas udara jakarta jadi  terburuk nomor tiga  dunia,"['jakarta', 'ulang', 'sabtu', 'juni', 'kado', 'terburuk', 'kualitas', 'udara', 'jakarta', 'terburuk', 'nomor', 'dunia']","['jakarta', 'ulang', 'sabtu', 'juni', 'kado', 'buruk', 'kualitas', 'udara', 'jakarta', 'buruk', 'nomor', 'dunia']",jakarta ulang sabtu juni kado buruk kualitas udara jakarta buruk nomor dunia
Pengembang bisa menjadi prime mover yang memicu penerapan green property terkait aktivitas pengembangan proyeknya.,pengembang bisa menjadi prime mover  memicu penerapan green property terkait aktivitas pengembangan proyeknya,"['pengembang', 'prime', 'mover', 'memicu', 'penerapan', 'green', 'property', 'terkait', 'aktivitas', 'pengembangan', 'proyeknya']","['kembang', 'prime', 'mover', 'picu', 'terap', 'green', 'property', 'kait', 'aktivitas', 'kembang', 'proyek']",kembang prime mover picu terap green property kait aktivitas kembang proyek
"KLHK melaporkan kualitas udara di Jakarta memburuk. Lalu, langkah apa yang sudah dilakukan? Berikut pernyataan-pernyataan dari KLHK.",klhk melaporkan kualitas udara  jakarta memburuk lalu langkah apa  sudah dilakukan berikut pernyataanpernyataan dari klhk,"['klhk', 'melaporkan', 'kualitas', 'udara', 'jakarta', 'memburuk', 'langkah', 'pernyataanpernyataan', 'klhk']","['klhk', 'lapor', 'kualitas', 'udara', 'jakarta', 'buruk', 'langkah', 'pernyataanpernyataan', 'klhk']",klhk lapor kualitas udara jakarta buruk langkah pernyataanpernyataan klhk
Kualitas udara di Jakarta tetap tak sehat meski jalan raya kosong kendaraan.,kualitas udara  jakarta tetap tak sehat meski jalan raya kosong kendaraan,"['kualitas', 'udara', 'jakarta', 'sehat', 'jalan', 'raya', 'kosong', 'kendaraan']","['kualitas', 'udara', 'jakarta', 'sehat', 'jalan', 'raya', 'kosong', 'kendara']",kualitas udara jakarta sehat jalan raya kosong kendara
Pj Gubernur DKI Heru Budi beberapa hari lalu menyoroti teknologi modifikasi cuaca (TMC) untuk memperbaiki kualitas udara. Perlukah TMC dilakukan?,pj gubernur dki heru budi beberapa hari lalu menyoroti teknologi modifikasi cuaca tmc untuk memperbaiki kualitas udara perlukah tmc dilakukan,"['pj', 'gubernur', 'dki', 'heru', 'budi', 'menyoroti', 'teknologi', 'modifikasi', 'cuaca', 'tmc', 'memperbaiki', 'kualitas', 'udara', 'tmc']","['pj', 'gubernur', 'dki', 'heru', 'budi', 'sorot', 'teknologi', 'modifikasi', 'cuaca', 'tmc', 'baik', 'kualitas', 'udara', 'tmc']",pj gubernur dki heru budi sorot teknologi modifikasi cuaca tmc baik kualitas udara tmc
