Judul Artikel,Tanggal,Konten,Sentimen
KLHK Sebut Kualitas Udara Jakarta Belum Separah 2023 Lalu,19 menit yang lalu,Kualitas udara Jakarta kembali menjadi sorotan lantaran buruk. KLHK menyebut kondisi udara saat ini tidak separah pada 2023.,negatif
KLHK soal Sebab Udara Jabodetabek Buruk: Kendaraan-PLTU-Pabrik-Pembakaran,35 menit yang lalu,"Ada beberapa faktor penyebab kualitas udara Jakarta dan sekitarnya buruk, akhir-akhir ini. Mulai PLTU hingga masyarakat yang hobi bakar-bakar sampah.",negatif
Kualitas Udara Jakarta Tetap Buruk Meski Jalan Raya Sepi Kendaraan,"Selasa, 18 Jun 2024 17:00 WIB",Kualitas udara di Jakarta tetap tak sehat meski jalan raya kosong kendaraan.,netral
Kualitas Udara Jakarta Dicap Tak Sehat Pagi Ini,"Selasa, 18 Jun 2024 11:23 WIB",Kualitas udara Jakarta dinyatakan tak sehat pagi ini versi IQ Air. Polusi udara Jakarta menempati posisi teratas bersama dengan Kinshasa pada pukul 10.08 WIB.,netral
"BMKG Jelaskan Pemicu Polusi Udara DKI Tinggi, Ada Pengaruh Angin-Curah Hujan","Rabu, 19 Jun 2024 09:35 WIB",BMKG mengungkap penyebab kualitas udara di Jakarta buruk kemarin.,negatif
"Polusi DKI-Tangsel Pagi Ini 'Sangat Tidak Sehat', Ada Apa?","Selasa, 18 Jun 2024 07:35 WIB","Kualitas udara DKI Jakarta dan Tangerang Selatan bukan lagi merah, tetapi berada di zona 'ungu' alias sangat tidak sehat pagi ini. Ada apa? Ini datanya.",negatif
Sejauh Mana Kualitas Udara dan Lingkungan Jadi Perhatian Pengembang?,"Senin, 10 Jun 2024 08:31 WIB","Selain karena polusi, kualitas udara yang buruk juga disebabkan oleh pemanasan global. Bagaimana pengembang merespons kondisi tersebut?",negatif
Cara Memperbaiki Kualitas Udara di Rumah,"Senin, 29 Apr 2024 08:30 WIB",Banyak orang yang belum tahu bahwa kualitas udara yang buruk bisa mempengaruhi tidak hanya kesehatan.,negatif
Pemprov DKI Klaim Sudah Kaji Terukur Solusi Tanggulangi Pencemaran Udara,"Rabu, 19 Jun 2024 15:23 WIB",Pemerintah Provinsi DKI Jakarta mengklaim terus melanjutkan upaya serius dalam menanggulangi penurunan kualitas udara di Jakarta.,netral
Serangan Udara Israel Tewaskan Perwira Militer Suriah,"Rabu, 19 Jun 2024 15:39 WIB",Seorang perwira militer Suriah tewas dalam serangan udara Israel di wilayah selatan negara itu.,netral
Lebih Serius Memperbaiki Kualitas Udara Jakarta,"Rabu, 25 Okt 2023 16:10 WIB","Sudah empat tahun upaya hukum dilakukan, tetapi pemerintah justru lalai dan enggan menjalankan putusan yang sudah ditetapkan pengadilan.",netral
"Kualitas Udara Jakarta, Bandung dan Tangsel Paling Tak Sehat Siang Ini","Sabtu, 18 Mei  2024 11:18 WIB","Polutan utama udara di Jakarta ialah PM 2,5. Berdasarkan situs BMKG, PM 2,5 adalah partikel udara yang berukuran lebih kecil dari 2,5 mikron (mikrometer).",netral
Anies Sarankan Lintas Wilayah Kerja Sama Atasi Polusi Udara di Jakarta,16 jam yang lalu,Anies Baswedan mengingatkan pentingnya kolaborasi antarwilayah untuk mengatasi masalah polusi udara di Jakarta.,negatif
"Polusi Udara Jakarta Tinggi, Heru Budi Bilang Gini","Rabu, 19 Jun 2024 11:55 WIB","Pj Gubernur DKI Jakarta Heru Budi Hartono menanggapi soal polusi udara di Jakarta tinggi. Kata dia, di Jakarta ada water mist hingga pembatasan kendaraan.",netral
Efektivitas Peralatan Scrubber dan Kualitas Udara,"Jumat, 13 Okt 2023 14:28 WIB",Pelaku industri di negeri ini sering teledor dan lepas tanggung jawab ketika harus memenuhi aturan terkait pemasangan alat Scrubber.,netral
Heru Budi soal Polusi Udara Jakarta Tinggi: Nanti Ada Water Mist,"Rabu, 19 Jun 2024 10:16 WIB",Pj Gubernur DKI Jakarta Heru Budi Hartono memberikan tanggapan soal polusi udara di Jakarta tinggi. Heru mengungkap sejumlah langkah untuk mengatasinya.,netral
