Judul Artikel,Tanggal,Konten,Sentimen
"Penyebab Kualitas Udara Jabodetabek Buruk, Jokowi: Kemarau, Transportasi, dan Industri","Selasa, 15 Agu 2023 12:00 WIB",Presiden Joko Widodo mengungkapkan tiga penyebab kualitas udara di Jabodetabek sangat buruk bahkan tidak sehat. Cek informasi lengkapnya di sini.,negatif
IQAir: Kualitas Udara Jakarta Minggu Pagi Tak Sehat!,"Minggu, 01 Okt 2023 12:26 WIB","Kualitas udara di Jakarta pada Minggu (1/10) pagi, masuk dalam kategori tak sehat. Menurut IQAir, tercatat kualitas udara di Jakarta berada dalam angka 180.",netral
"Langit Biru Jakarta Hari Ini, Kualitas Udara Indikator 'Baik'","Selasa, 19 Mar 2024 14:35 WIB",Langit di Jakarta terlihat cerah hingga tampak biru pada siang ini. Jarak pandang di udara pun terlihat luas. Bagaimana kualitas udaranya?,netral
Kualitas Udara Kota Bandung Pagi Ini Masuk Zona Oranye,"Selasa, 22 Agu 2023 08:22 WIB",Kualitas udara Kota Bandung berdasarkan catatan IQ Air pagi ini berada di zona oranye. Zona ini termasuk kategori tidak sehat bagi kelompok sensitif.,negatif
"Menteri Jokowi Heran Kualitas Udara Batam Lampu Kuning, tapi Singapura Hijau","Senin, 21 Agu 2023 11:22 WIB","""Batam memang agak sedikit orange, tapi Singapura hijau banget. Itu aneh, berdekatan,"" kata Suharso.",netral
Heru Budi soal Polusi Udara Jakarta Tinggi: Nanti Ada Water Mist,"Rabu, 19 Jun 2024 10:16 WIB",Pj Gubernur DKI Jakarta Heru Budi Hartono memberikan tanggapan soal polusi udara di Jakarta tinggi. Heru mengungkap sejumlah langkah untuk mengatasinya.,netral
Jokowi Yakin Kualitas Udara di IKN Lebih Baik dari Melbourne-Paris,"Rabu, 05 Jun 2024 10:53 WIB",Presiden Joko Widodo berbicara terkait kualitas udara di beberapa kota. Ia yakin kualitas udara di IKN nantinya akan lebih baik dan berada di rentang 0-20.,positif
Menteri LHK Jawab Canda Menkeu: Sudah 'Hijau' Itu Indeks Kualitas Udara,"Selasa, 09 Jan 2024 13:08 WIB",Menteri LHK Siti Nurbaya memberikan tanggapan soal candaan Menteri Keuangan (Menkeu) Sri Mulyani yang menyebut sudah 'hijau'.,netral
Serangan Udara Israel Tewaskan Perwira Militer Suriah,"Rabu, 19 Jun 2024 15:39 WIB",Seorang perwira militer Suriah tewas dalam serangan udara Israel di wilayah selatan negara itu.,netral
"Waduh, Legislator Ungkap Kualitas Udara di Ruang Rapat DPR Ber-AC Buruk","Kamis, 31 Agu 2023 13:18 WIB","Kualitas udara buruk disebut-sebut terasa hingga ke dalam ruangan rapat di gedung MPR/DPR/DPD RI, Senayan, Jakarta, yang ber-AC.",negatif
"Kualitas Udara Jakarta, Bandung dan Tangsel Paling Tak Sehat Siang Ini","Sabtu, 18 Mei  2024 11:18 WIB","Polutan utama udara di Jakarta ialah PM 2,5. Berdasarkan situs BMKG, PM 2,5 adalah partikel udara yang berukuran lebih kecil dari 2,5 mikron (mikrometer).",netral
"Stasiun Pemantau Kualitas Udara: Fungsi, Syarat hingga Cara Kerja","Jumat, 19 Jan 2024 17:13 WIB",Apa itu Stasiun Pemantau Kualitas Udara (SPKU) yang berhubungan dengan Indeks Standar Pencemar Udara (ISPU)? Ini fungsi dan cara kerjanya.,netral
"Studi: Kualitas Udara Buruk Pengaruhi Kemampuan Belajar Siswa, Jadi Sulit Konsen!","Jumat, 18 Agu 2023 17:30 WIB",IQAir menjelaskan bahwa kualitas udara memiliki pengaruh pada kualitas belajar siswa. Seperti apa? simak penjelasannya.,netral
