Judul Artikel,Tanggal,Konten,Sentimen
"Kualitas Udara Buruk, Pemerintah Konsisten, Dong!","Selasa, 22 Agu 2023 19:06 WIB",Kualitas udara Jakarta dinilai buruk. Keputusan politik pemerintah pusat harus tepat.,negatif
"Kualitas Udara di Jakarta Buruk, Pemrov DKI Imbau Pakai Masker","Jumat, 11 Agu 2023 16:27 WIB",Pemprov DKI Jakarta mengimbau warga Jakarta untuk menggunakan masker saat beraktivitas. Hal itu karena polusi udara di Jakarta mengkhawatirkan.,netral
"Kualitas Udara DKI Tak Sehat, WFH Bisa Jadi Solusi?","Jumat, 09 Jun 2023 14:23 WIB",Data dari Indeks kualitas udara (AQI) dan polusi udara PM2.5 di beberapa kota di Indonesia mencapai tingkat yang sangat buruk dalam beberapa waktu belakangan.,negatif
Kualitas Udara Kota Bandung Pagi Ini Masuk Zona Oranye,"Jumat, 18 Agu 2023 09:15 WIB",Kualitas udara Kota Bandung berdasarkan catatan IQ Air pada Jumat (18/8/2023) hingga pukul 08.00 WIB berada di zona oranye (tidak sehat bagi kelompok sensitif).,negatif
Pemprov DKI Diminta Perbanyak Kawasan Rendah Emisi Perbaiki Kualitas Udara,"Jumat, 02 Feb 2024 12:11 WIB",Anggota Komisi D DPRD DKI Jakarta dari Fraksi PDI Perjuangan Yuke Yurike meminta Pemprov DKI memperbanyak kawasan rendah emisi atau low emission zone (LEZ).,netral
Jokowi Yakin Kualitas Udara IKN Lebih Baik Dibanding Jakarta hingga Singapura,"Rabu, 05 Jun 2024 10:59 WIB","Jokowi menyebut indeks kualitas udara di IKN di bawah 30. Menurutnya, jauh lebih rendah dibandingkan dari Jakarta hingga Singapura.",netral
12 Cara Meningkatkan Kualitas Udara di Rumah Biar Selalu Segar,"Jumat, 05 Apr 2024 10:30 WIB",Udara yang segar dan berkualitas membuat rumah terasa nyaman dan sehat. Simak 12 cara meningkatkan kualitas udara di rumah berikut ini.,netral
"KLHK: Karhutla di Jambi dan Kalsel Berkurang, Kualitas Udara Membaik","Rabu, 25 Okt 2023 13:06 WIB","KLHK menyampaikan perkembangan terbaru kondisi Karhutla di Jabi dan Kalsel yang membaik. Namun, di Sumsel dan Kalteng menjadi daerah rawan Karhutla.",positif
Lebih Serius Memperbaiki Kualitas Udara Jakarta,"Rabu, 25 Okt 2023 16:10 WIB","Sudah empat tahun upaya hukum dilakukan, tetapi pemerintah justru lalai dan enggan menjalankan putusan yang sudah ditetapkan pengadilan.",netral
KLHK Sebut Kualitas Udara Jakarta Belum Separah 2023 Lalu,19 menit yang lalu,Kualitas udara Jakarta kembali menjadi sorotan lantaran buruk. KLHK menyebut kondisi udara saat ini tidak separah pada 2023.,negatif
Kualitas Udara di Lamongan Masuk Kategori Baik,"Rabu, 30 Agu 2023 16:13 WIB","Indeks Kualitas Lingkungan Hidup (IKLH) dan Indeks Kualitas Udara (IKU) Lamongan berada di angka 84.05. Itu artinya, kualitas udara di Kota Soto baik.",positif
Kualitas Udara Banyuwangi Saat Indonesia Masuk 20 Besar Negara Terburuk,"Rabu, 30 Agu 2023 23:59 WIB",Kualitas udara di Banyuwangi ternyata masih terkategori sangat baik setelah dilakukan uji kualitas oleh Dinas Lingkungan Hidup setempat.,positif
DLH DKI Sebut Kemarau Jadi Salah Satu Pemicu Kualitas Udara Buruk,"Jumat, 11 Agu 2023 16:31 WIB",Kadis Lingkungan Hidup DKI Jakarta Asep Kuswanto menyebut musim kemarau jadi salah satu faktor yang mempengaruhi kualitas udara di Jakarta menjadi kurang baik.,positif
Kualitas Udara di Jakarta Siang Ini Masuk Kategori Tidak Sehat,"Rabu, 21 Feb 2024 13:52 WIB",Udara di Jakarta siang ini masuk kategori tidak sehat. Kondisi udara Jakarta tampak berkabut.,negatif
"Diselimuti Kabut, Kualitas Udara Semenanjung Malaysia Tidak Sehat","Minggu, 01 Okt 2023 19:02 WIB","Level partikulat atmosfer berukuran lebih kecil dari 2,5 mikron di sejumlah wilayah di Semenanjung Malaysia pada Minggu petang masuk kategori tidak sehat.",negatif
"BMKG Jelaskan Pemicu Polusi Udara DKI Tinggi, Ada Pengaruh Angin-Curah Hujan","Rabu, 19 Jun 2024 09:35 WIB",BMKG mengungkap penyebab kualitas udara di Jakarta buruk kemarin.,negatif
"Kualitas Udara Tangsel Sabtu Siang Terburuk Se-RI Versi IQAir, DKI Nomor 5","Sabtu, 12 Agu 2023 12:19 WIB","Kualitas udara di Tangsel pada siang ini masuk kategori 'tidak sehat' dan menjadi kota paling berpolusi di Indonesia. Sementara itu, Jakarta di posisi kelima.",negatif
Tips Jaga Daya Tahan Tubuh Saat Kualitas Udara Buruk,"Selasa, 31 Okt 2023 00:00 WIB","Kualitas udara yang kotor akan polusi dapat mengganggu kesehatan. Tubuh yang sistem imunnya lemah, akan mudah sakit jika terlalu sering menghirup udara kotor.",netral
Anies Sarankan Lintas Wilayah Kerja Sama Atasi Polusi Udara di Jakarta,16 jam yang lalu,Anies Baswedan mengingatkan pentingnya kolaborasi antarwilayah untuk mengatasi masalah polusi udara di Jakarta.,negatif
"Kualitas Udara DKI dan Sekitarnya Sempat Mendingan, Begini Penampakannya","Kamis, 31 Agu 2023 07:30 WIB","Kualitas udara DKI Jakarta sore hingga malam kemarin, lagi agak mendingan. Bukan cuma di DKI, tetapi di Tangsel hingga Depok. Ini datanya.",netral
