Judul Artikel,Tanggal,Konten
KLHK Sebut Kualitas Udara Jakarta Belum Separah 2023 Lalu,19 menit yang lalu,Kualitas udara Jakarta kembali menjadi sorotan lantaran buruk. KLHK menyebut kondisi udara saat ini tidak separah pada 2023.
KLHK soal Sebab Udara Jabodetabek Buruk: Kendaraan-PLTU-Pabrik-Pembakaran,35 menit yang lalu,"Ada beberapa faktor penyebab kualitas udara Jakarta dan sekitarnya buruk, akhir-akhir ini. Mulai PLTU hingga masyarakat yang hobi bakar-bakar sampah."
Kualitas Udara Jakarta Tetap Buruk Meski Jalan Raya Sepi Kendaraan,"Selasa, 18 Jun 2024 17:00 WIB",Kualitas udara di Jakarta tetap tak sehat meski jalan raya kosong kendaraan.
Kualitas Udara Jakarta Dicap Tak Sehat Pagi Ini,"Selasa, 18 Jun 2024 11:23 WIB",Kualitas udara Jakarta dinyatakan tak sehat pagi ini versi IQ Air. Polusi udara Jakarta menempati posisi teratas bersama dengan Kinshasa pada pukul 10.08 WIB.
"BMKG Jelaskan Pemicu Polusi Udara DKI Tinggi, Ada Pengaruh Angin-Curah Hujan","Rabu, 19 Jun 2024 09:35 WIB",BMKG mengungkap penyebab kualitas udara di Jakarta buruk kemarin.
"Polusi DKI-Tangsel Pagi Ini 'Sangat Tidak Sehat', Ada Apa?","Selasa, 18 Jun 2024 07:35 WIB","Kualitas udara DKI Jakarta dan Tangerang Selatan bukan lagi merah, tetapi berada di zona 'ungu' alias sangat tidak sehat pagi ini. Ada apa? Ini datanya."
Sejauh Mana Kualitas Udara dan Lingkungan Jadi Perhatian Pengembang?,"Senin, 10 Jun 2024 08:31 WIB","Selain karena polusi, kualitas udara yang buruk juga disebabkan oleh pemanasan global. Bagaimana pengembang merespons kondisi tersebut?"
Cara Memperbaiki Kualitas Udara di Rumah,"Senin, 29 Apr 2024 08:30 WIB",Banyak orang yang belum tahu bahwa kualitas udara yang buruk bisa mempengaruhi tidak hanya kesehatan.
Pemprov DKI Klaim Sudah Kaji Terukur Solusi Tanggulangi Pencemaran Udara,"Rabu, 19 Jun 2024 15:23 WIB",Pemerintah Provinsi DKI Jakarta mengklaim terus melanjutkan upaya serius dalam menanggulangi penurunan kualitas udara di Jakarta.
Serangan Udara Israel Tewaskan Perwira Militer Suriah,"Rabu, 19 Jun 2024 15:39 WIB",Seorang perwira militer Suriah tewas dalam serangan udara Israel di wilayah selatan negara itu.
