konten,sentimen
Kualitas udara di Jakarta tetap tak sehat meski jalan raya kosong kendaraan.,netral
Kualitas udara Jakarta dinyatakan tak sehat pagi ini versi IQ Air. Polusi udara Jakarta menempati posisi teratas bersama dengan Kinshasa pada pukul 10.08 WIB.,netral
BMKG mengungkap penyebab kualitas udara di Jakarta buruk kemarin.,negatif
Kualitas udara DKI Jakarta dan Tangerang Selatan bukan lagi merah  tetapi berada di zona 'ungu' alias sangat tidak sehat pagi ini. Ada apa? Ini datanya.,negatif
"Selain karena polusi, kualitas udara yang buruk juga disebabkan oleh pemanasan global. Bagaimana pengembang merespons kondisi tersebut?",negatif
Banyak orang yang belum tahu bahwa kualitas udara yang buruk bisa mempengaruhi tidak hanya kesehatan.,negatif
Anies Baswedan mengingatkan pentingnya kolaborasi antarwilayah untuk mengatasi masalah polusi udara di Jakarta.,negatif
"Polutan utama udara di Jakarta ialah PM 2,5. Berdasarkan situs BMKG, PM 2,5 adalah partikel udara yang berukuran lebih kecil dari 2,5 mikron (mikrometer).",netral
"Sudah empat tahun upaya hukum dilakukan, tetapi pemerintah justru lalai dan enggan menjalankan putusan yang sudah ditetapkan pengadilan.",netral
"Pj Gubernur DKI Jakarta Heru Budi Hartono menanggapi soal polusi udara di Jakarta tinggi. Kata dia, di Jakarta ada water mist hingga pembatasan kendaraan.",netral
Pj Gubernur DKI Jakarta Heru Budi Hartono memberikan tanggapan soal polusi udara di Jakarta tinggi. Heru mengungkap sejumlah langkah untuk mengatasinya.,netral
Pelaku industri di negeri ini sering teledor dan lepas tanggung jawab ketika harus memenuhi aturan terkait pemasangan alat Scrubber.,netral
Presiden Jokowi berbicara terkait kualitas udara di beberapa kota. Ia yakin kualitas udara di IKN nantinya akan lebih baik dan berada di rentang 0-20.,positif
"Dinas Lingkungan Hidup (LH) DKI Jakarta mengungkapkan kualitas udara di Jagakarsa, Jakarta Selatan, di kategori tidak sehat pukul 07.00 WIB hari ini.",negatif
"Indeks Kualitas Lingkungan Hidup (IKLH) dan Indeks Kualitas Udara (IKU) Lamongan berada di angka 84.05. Itu artinya, kualitas udara di Kota Soto baik.",positif
Udara di Jakarta pada Jumat pagi ini masuk dalam kategori tidak sehat. Cuaca pagi ini berkabut.,negatif
Kendaraan yang boleh beredar di IKN hanya kendaraan listrik.,netral
DLH DKI mengatakan KLHK akan mengeluarkan standardisasi alat pengukur kualitas udara. KLHK diharapkan segera menerbitkannya.,netral
Hujan lebat mengguyur Kota Jambi pada Kamis (21/9). Alhasil kualitas udara membaik dan lahan gambut yang berpotensi kebakaran pun basah.,positif
Udara yang segar dan berkualitas membuat rumah terasa nyaman dan sehat. Simak 12 cara meningkatkan kualitas udara di rumah berikut ini.,netral
Dinas Pendidikan (Disdik) Kota Palembang mengeluarkan aturan pembelajaran baru terkait kabut asap. Sekolah diperbolehkan belajar mengajar secara daring.,netral
"Menteri Lingkungan Hidup dan Kehutanan Siti Nurbaya menyoroti alat ukur kualitas udara yang hanya menggunakan PM 2,5.",netral
Langit di Jakarta terlihat cerah hingga tampak biru pada siang ini. Jarak pandang di udara pun terlihat luas. Bagaimana kualitas udaranya?,netral
Situs IQ Air menempatkan Jakarta sebagai kota dengan tingkat polusi udara tertinggi di dunia pagi ini. IQ Air menyatakan kualitas udara di Jakarta tidak sehat.,negatif
"Kualitas udara di Kota Padang, Sumatera Barat, dilaporkan turun. Masyarakat diimbau untuk menggunakan masker.",netral
"BMKG Sumsel mencatat kualitas udara di Palembang memburuk karena tidak adanya curah hujan di musim kemarau, ditambah munculnya sejumlah titik api atau hotspot.",negatif
